Employe,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrMa0ger,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
DAVID MURRAY,21,No,Travel_Rarely,Sales,2,3,Life Sciences,1,1236,Male,2,Manufacturing Director,Single,137570,1,Y,12,8,1,0,3,0,0,0,3,4,3,3,3
DON0 CHILDERS,34,Yes,Travel_Rarely,Sales,15,2,Marketing,1,1237,Female,2,Research Scientist,Single,84630,2,Y,13,8,0,8,2,4,1,3,2,1,3,1,3
NIKKI GRIFFEY,53,No,Travel_Rarely,Sales,2,1,Life Sciences,1,1238,Male,5,Human Resources,Divorced,31620,4,Y,15,8,0,26,4,14,4,8,3,3,2,3,3
JAMES ONOE,32,Yes,Travel_Frequently,Research & Development,10,3,Medical,1,1239,Female,2,Manufacturing Director,Single,165980,1,Y,13,8,0,10,2,10,6,7,2,1,3,3,3
JODY KATO,42,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,1240,Male,2,Laboratory Technician,Married,66510,0,Y,20,8,0,10,5,9,4,2,3,2,3,2,4
LAWRENCE NG,44,No,Travel_Rarely,Research & Development,3,1,Life Sciences,1,1241,Female,1,Manufacturing Director,Married,23450,3,Y,15,8,2,24,0,22,5,17,1,4,3,3,3
PAUL SAITZ,46,No,Travel_Rarely,Sales,2,3,Life Sciences,1,1242,Female,1,Research Scientist,Single,34200,3,Y,13,8,2,22,3,2,2,1,2,1,2,1,3
MARIO MELENDEZ,33,No,Travel_Rarely,Sales,3,3,Medical,1,1243,Male,1,Manufacturing Director,Single,43730,4,Y,14,8,0,7,3,1,0,0,3,4,3,3,3
MICHAEL TEUPEL,44,No,Travel_Rarely,Human Resources,26,3,Life Sciences,1,1244,Male,5,Healthcare Representative,Married,47590,2,Y,21,8,0,9,2,4,1,3,4,4,4,3,4
ANDREW HOWARD IV,30,No,Travel_Rarely,Research & Development,1,4,Technical Degree,1,1245,Female,1,Research Scientist,Single,53010,1,Y,16,8,1,10,3,10,1,8,4,3,3,3,3
PATRICK WONG,39,Yes,Travel_Rarely,Human Resources,1,4,Medical,1,1246,Male,1,Sales Executive,Married,36730,3,Y,14,8,1,19,3,1,0,0,4,4,4,3,3
RAFAL OFIERSKI,24,Yes,Travel_Rarely,Human Resources,2,5,Human Resources,1,1247,Male,3,Sales Executive,Married,47680,2,Y,11,8,1,6,2,2,2,0,2,4,2,2,3
KAREN HEALD,43,No,Travel_Rarely,Sales,9,5,Technical Degree,1,1248,Female,1,Research Director,Divorced,12740,1,Y,19,8,0,6,3,5,1,4,4,3,2,2,3
DAVID STIER,50,Yes,Travel_Rarely,Research & Development,12,4,Medical,1,1249,Male,1,Research Director,Married,49000,1,Y,11,8,0,3,3,3,0,2,1,3,3,2,3
DANIEL FLEMING,35,No,Travel_Rarely,Sales,2,4,Marketing,1,1250,Male,3,Manufacturing Director,Married,104660,1,Y,13,8,0,2,1,2,2,2,4,4,3,3,3
EDWARD LABRADO,36,No,Travel_Rarely,Research & Development,25,1,Life Sciences,1,1251,Female,4,Sales Executive,Married,170070,9,Y,12,8,1,6,2,1,0,0,2,1,4,2,3
CHARLES PERL,33,No,Travel_Frequently,Sales,9,2,Marketing,1,1252,Male,4,Human Resources,Married,29090,2,Y,11,8,0,10,2,5,1,3,3,1,3,2,3
FANNY LEE,35,No,Travel_Rarely,Research & Development,10,1,Medical,1,1253,Male,1,Research Scientist,Divorced,57650,1,Y,14,8,1,1,2,1,0,0,3,4,3,3,3
DION MCDONNELL,27,No,Travel_Rarely,Sales,8,2,Marketing,1,1254,Female,3,Research Scientist,Divorced,45990,1,Y,15,8,1,1,3,1,0,0,4,1,3,2,3
KATHRYN JUNG,26,Yes,Travel_Rarely,Sales,4,3,Marketing,1,1255,Male,2,Ma0ger,Single,24040,1,Y,12,8,0,1,6,1,0,1,1,3,2,3,3
MICHAEL MOODY,27,No,Travel_Frequently,Sales,24,3,Life Sciences,1,1256,Male,4,Healthcare Representative,Single,31720,1,Y,20,8,1,9,1,9,1,7,4,3,3,3,4
MARIA NILSSON,30,No,Travel_Frequently,Research & Development,1,4,Medical,1,1257,Male,1,Research Scientist,Single,20330,1,Y,14,8,1,12,3,12,3,7,3,4,3,1,3
LAURIE NOBILETTE,41,Yes,Travel_Rarely,Sales,20,4,Marketing,1,1258,Male,2,Sales Executive,Married,102090,1,Y,13,8,1,23,2,22,15,8,2,3,3,3,3
THOMAS WESTBROOK,34,No,Non-Travel,Research & Development,7,2,Technical Degree,1,1259,Female,1,Research Scientist,Single,86200,0,Y,13,8,1,10,2,9,8,7,2,3,3,2,3
MANUEL ABUDA-JR,37,No,Travel_Rarely,Research & Development,17,3,Life Sciences,1,1260,Female,3,Sales Executive,Married,20640,4,Y,16,8,0,8,3,1,0,0,2,2,3,2,3
CHRISTINE VAN AKEN,46,No,Travel_Frequently,Research & Development,20,3,Technical Degree,1,1261,Male,3,Sales Executive,Single,40350,4,Y,14,8,1,14,2,9,0,8,1,4,0,3,3
HARRY LEE,35,No,Travel_Rarely,Research & Development,8,4,Medical,1,1262,Female,3,Research Scientist,Married,38380,1,Y,16,8,1,1,2,1,0,1,4,4,3,3,3
TRENIA WEARING,48,Yes,Travel_Rarely,Research & Development,2,4,Technical Degree,1,1263,Female,1,Sales Executive,Single,45910,9,Y,16,8,0,23,6,1,0,0,1,3,3,1,3
ROBERT STEGER,28,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,1264,Male,1,Sales Executive,Single,25610,1,Y,22,8,1,2,3,2,2,2,3,3,2,3,4
RICHARD MCGEE,44,No,Travel_Rarely,Research & Development,1,1,Medical,1,1265,Female,3,Research Scientist,Divorced,15630,5,Y,12,8,2,9,3,4,1,3,2,1,2,3,3
DARRYL LOO,35,No,Non-Travel,Research & Development,5,4,Technical Degree,1,1266,Female,3,Manufacturing Director,Married,48980,2,Y,15,8,2,10,2,4,2,3,3,1,3,3,3
JO0THAN HUGGINS,26,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,1267,Female,3,Sales Executive,Married,47890,7,Y,20,8,1,5,2,2,0,0,3,4,2,3,4
STEPHEN PAULSEN,33,No,Travel_Frequently,Sales,29,4,Life Sciences,1,1268,Female,1,Human Resources,Single,31800,1,Y,14,8,1,15,2,15,8,12,1,4,3,3,3
MICHELLE DURGY,35,No,Travel_Frequently,Research & Development,15,3,Medical,1,1269,Male,3,Manufacturing Director,Married,65490,1,Y,20,8,0,9,3,9,1,8,2,1,2,3,4
JANICE PAPEDO,35,No,Travel_Rarely,Human Resources,3,2,Life Sciences,1,1270,Female,1,Laboratory Technician,Married,63880,3,Y,13,8,0,4,6,2,2,2,3,1,3,2,3
ROSALY FERRER,31,No,Travel_Rarely,Sales,10,2,Life Sciences,1,1271,Female,2,Research Scientist,Divorced,112440,3,Y,12,8,1,10,3,7,1,7,4,4,2,3,3
SARA CONRAD,37,No,Travel_Rarely,Sales,4,3,Marketing,1,1272,Male,4,Human Resources,Divorced,160320,1,Y,13,8,0,7,2,7,0,7,1,3,4,3,3
FRANCIS VALLESTEROS,32,No,Travel_Rarely,Research & Development,21,3,Other,1,1273,Male,2,Sales Executive,Married,23620,1,Y,11,8,0,9,2,9,7,8,1,4,3,3,3
MARGARET DIVINE,38,No,Travel_Frequently,Research & Development,25,3,Medical,1,1274,Male,2,Manufacturing Director,Single,163280,1,Y,17,8,3,10,2,10,9,9,4,4,3,3,3
XENOPHON DAVIDIS,50,No,Travel_Rarely,Sales,2,4,Marketing,1,1275,Female,4,Research Scientist,Divorced,83760,5,Y,14,8,3,29,2,27,13,8,2,3,2,3,3
JOSEPH BIRRER,59,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,1276,Male,1,Laboratory Technician,Single,166060,7,Y,11,8,0,28,6,21,7,9,1,1,2,3,3
BENJAMIN LEUNG,36,No,Travel_Rarely,Sales,1,2,Marketing,1,1277,Female,2,Sales Executive,Divorced,86060,1,Y,14,8,2,17,3,17,12,8,3,3,3,3,3
NORMAN CHAN,55,No,Travel_Rarely,Research & Development,7,3,Medical,1,1278,Male,3,Research Scientist,Divorced,22720,2,Y,17,8,1,21,2,5,0,2,4,3,3,3,3
AMIR KOLEINI,36,No,Travel_Frequently,Research & Development,3,3,Life Sciences,1,1279,Female,2,Laboratory Technician,Single,20180,1,Y,13,8,0,6,5,6,0,3,2,2,3,3,3
JEFFREY SCHMIDT,45,No,Travel_Rarely,Research & Development,1,2,Medical,1,1280,Female,1,Sales Executive,Divorced,70830,2,Y,12,8,1,25,5,1,0,0,2,1,3,3,3
JOHN YEE,35,No,Travel_Frequently,Human Resources,9,3,Other,1,1281,Female,2,Sales Representative,Married,40840,4,Y,13,8,1,5,3,3,1,2,2,1,2,3,3
STEVEN MAES,36,Yes,Travel_Rarely,Sales,7,2,Life Sciences,1,1282,Male,4,Laboratory Technician,Married,144110,0,Y,18,8,3,2,2,1,0,0,4,3,2,4,3
MICHAEL SIMON,59,No,Travel_Frequently,Research & Development,10,4,Life Sciences,1,1283,Male,3,Research Scientist,Single,23080,7,Y,19,8,1,20,4,4,1,3,1,3,2,2,3
JOSEPH MCFADDEN,29,No,Travel_Rarely,Research & Development,28,4,Life Sciences,1,1284,Female,1,Sales Representative,Married,48410,0,Y,11,8,0,6,3,5,0,4,3,2,3,3,3
RO0LD LAU,31,No,Travel_Rarely,Research & Development,3,2,Medical,1,1285,Female,3,Sales Executive,Single,42850,1,Y,21,8,1,1,2,1,1,0,3,2,3,1,4
KEVIN WHITFIELD,32,No,Travel_Rarely,Sales,3,4,Life Sciences,1,1286,Male,2,Manufacturing Director,Married,97150,1,Y,15,8,1,10,1,10,0,9,2,2,3,2,3
RAMON BARRETO JR,36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1287,Male,2,Sales Representative,Married,43200,3,Y,17,8,0,5,2,1,0,0,2,4,3,3,3
MICHELLE CRAIG,31,No,Travel_Rarely,Research & Development,27,3,Medical,1,1288,Female,2,Research Director,Single,21320,1,Y,18,8,0,11,3,11,1,8,3,4,3,3,3
NELIA BASANES,35,No,Travel_Rarely,Research & Development,2,4,Medical,1,1289,Male,2,Healthcare Representative,Single,101240,0,Y,14,8,1,16,2,15,2,8,3,1,3,4,3
EVELYN FERRER,45,No,Travel_Rarely,Human Resources,14,3,Human Resources,1,1290,Female,1,Sales Executive,Married,54730,4,Y,13,8,0,17,3,0,0,0,4,1,4,1,3
STEPHEN MURPHY,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1291,Female,3,Sales Executive,Single,52070,4,Y,17,8,3,16,3,5,0,2,1,3,4,3,3
THOMAS LEE,46,No,Travel_Rarely,Research & Development,9,3,Medical,1,1292,Male,3,Ma0ger,Divorced,164370,8,Y,15,8,1,16,0,4,0,2,2,2,3,3,3
ARNOLD DIG0DICE,30,No,Travel_Rarely,Sales,18,3,Life Sciences,1,1293,Male,4,Human Resources,Married,22960,1,Y,18,8,1,10,2,10,3,0,4,4,2,3,3
RICHARD O'REILLY,35,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,1294,Female,3,Human Resources,Single,40690,1,Y,13,8,0,6,5,6,0,4,2,3,3,3,3
ALISA OBERSCHELP,55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1295,Female,2,Laboratory Technician,Married,74410,3,Y,12,8,1,24,4,1,1,0,1,4,3,3,3
FRANKLIN LEE,38,No,Non-Travel,Sales,11,1,Marketing,1,1296,Male,2,Laboratory Technician,Divorced,24300,7,Y,13,8,2,17,2,13,1,9,2,4,3,4,3
CLAUDIO RIVIECCIO,34,No,Travel_Rarely,Research & Development,8,2,Medical,1,1297,Male,1,Research Scientist,Married,58780,1,Y,14,8,0,5,1,5,1,3,1,2,3,3,3
ALEX RODATOS,56,No,Travel_Rarely,Human Resources,2,1,Medical,1,1298,Male,2,Sales Executive,Single,26440,4,Y,11,8,1,37,2,6,0,2,4,4,2,3,3
ANDRE KURY,23,No,Travel_Rarely,Research & Development,10,3,Medical,1,1299,Male,2,Laboratory Technician,Divorced,64390,3,Y,22,8,3,3,2,0,0,0,3,1,3,3,4
CHARLES ROWLES,51,No,Travel_Rarely,Research & Development,29,4,Life Sciences,1,1300,Female,5,Manufacturing Director,Married,24510,3,Y,17,8,0,10,2,4,0,3,4,4,3,2,3
ROSE-ELLEN FAIRGRIEVE,30,No,Travel_Rarely,Sales,8,2,Technical Degree,1,1301,Male,1,Sales Representative,Married,63920,1,Y,21,8,1,11,2,11,10,8,3,4,3,4,4
ALEX TAKAOKA,46,Yes,Travel_Rarely,Sales,1,2,Medical,1,1302,Female,2,Research Scientist,Single,97140,1,Y,22,8,0,9,0,9,4,7,3,4,3,3,4
SUSAN DEMARTINI,40,No,Travel_Frequently,Research & Development,6,3,Medical,1,1303,Male,1,Healthcare Representative,Married,60770,1,Y,16,8,2,22,2,22,11,11,3,2,2,2,3
DAVID HAMILTON,51,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,1304,Female,5,Sales Representative,Single,24500,0,Y,12,8,1,11,2,10,1,0,3,4,1,3,3
RANDALL SOO-HOO,30,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,1305,Male,1,Manufacturing Director,Divorced,92500,1,Y,12,8,3,11,0,11,2,7,3,2,2,3,3
JOHN GERATY,46,No,Travel_Frequently,Research & Development,12,1,Medical,1,1306,Male,1,Laboratory Technician,Married,20740,2,Y,15,8,1,21,3,10,9,5,3,1,2,3,3
GERALD SCULLION,32,No,Travel_Rarely,Sales,15,3,Marketing,1,1307,Male,1,Research Scientist,Single,101690,1,Y,14,8,0,12,6,11,5,7,2,3,3,2,3
JENNIFER MATHEWS,54,No,Travel_Rarely,Research & Development,25,1,Medical,1,1308,Female,1,Laboratory Technician,Married,48550,9,Y,25,8,1,16,2,4,0,3,1,3,1,2,4
KEVIN CHOCKER,24,No,Travel_Rarely,Sales,6,2,Marketing,1,1309,Male,2,Research Scientist,Married,40870,0,Y,20,8,3,4,1,3,0,2,1,3,2,3,4
HEATHER TANNEHILL-PLAMOND,28,No,Non-Travel,Sales,9,4,Medical,1,1310,Male,2,Laboratory Technician,Married,23670,1,Y,13,8,0,5,2,5,0,4,2,3,4,2,3
LISA MOY,58,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,1311,Male,2,Sales Executive,Single,29720,0,Y,14,8,0,38,2,37,1,8,4,3,2,4,3
ANGELA CALVILLO,44,No,Non-Travel,Research & Development,23,2,Medical,1,1312,Female,1,Research Scientist,Married,195860,4,Y,16,8,0,17,3,3,1,2,2,2,4,2,3
GAIL NORMAN,37,Yes,Travel_Rarely,Human Resources,9,3,Human Resources,1,1313,Male,2,Healthcare Representative,Divorced,54840,0,Y,17,8,0,7,4,3,0,2,3,1,3,3,3
MARYANNE LOWMAN,32,No,Travel_Rarely,Human Resources,12,2,Human Resources,1,1314,Female,1,Sales Representative,Single,20610,1,Y,15,8,1,1,2,1,0,0,4,1,3,2,3
LOUISE DIMATTIO,20,Yes,Travel_Frequently,Sales,4,4,Life Sciences,1,1315,Female,2,Healthcare Representative,Single,99240,1,Y,22,8,0,1,3,1,1,0,4,4,3,3,4
JAMES FEWELL,34,No,Travel_Rarely,Research & Development,1,4,Other,1,1316,Male,4,Laboratory Technician,Single,41980,1,Y,22,8,1,16,2,16,2,10,1,3,3,2,4
JOHN RUGGEIRO,37,No,Non-Travel,Sales,24,2,Life Sciences,1,1317,Male,1,Research Scientist,Divorced,68150,5,Y,20,8,1,17,3,1,0,0,3,4,4,3,4
JOSEPH SALLADY,59,No,Non-Travel,Research & Development,12,2,Life Sciences,1,1318,Male,2,Sales Executive,Married,47230,9,Y,14,8,0,30,0,3,2,2,3,4,3,3,3
JULIE RUSSELL,50,No,Travel_Frequently,Research & Development,3,4,Medical,1,1319,Male,4,Research Scientist,Married,61420,3,Y,13,8,2,28,3,8,0,7,1,2,2,2,3
BRIAN SCHAFFER,25,Yes,Travel_Rarely,Sales,10,1,Marketing,1,1320,Male,2,Research Director,Single,82370,1,Y,13,8,0,6,6,6,0,3,3,3,3,2,3
KATHLEEN HAROLD,25,No,Travel_Rarely,Research & Development,26,3,Technical Degree,1,1321,Male,1,Laboratory Technician,Married,88530,1,Y,22,8,1,2,3,2,2,1,4,4,3,3,4
MARLE0 BYRNE,22,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,1322,Male,1,Sales Representative,Single,193310,1,Y,12,8,1,1,2,0,0,0,2,4,3,3,3
JOSE LOPEZ,51,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,1323,Female,1,Sales Executive,Single,20730,3,Y,14,8,1,23,4,13,12,8,1,1,2,3,3
JULIE DEJARLAIS,34,Yes,Travel_Frequently,Human Resources,4,4,Life Sciences,1,1324,Female,5,Sales Executive,Single,55620,1,Y,15,8,0,9,3,9,0,6,1,3,0,3,3
DOMINIC YIN,54,No,Non-Travel,Research & Development,9,3,Life Sciences,1,1325,Male,1,Laboratory Technician,Single,196130,2,Y,17,8,0,23,5,5,4,4,4,4,3,3,3
EDWARD SANTOS JR,24,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,1326,Male,2,Laboratory Technician,Married,34070,0,Y,13,8,1,6,4,5,1,2,2,3,3,3,3
DARIUS LUTTROPP,34,No,Travel_Rarely,Sales,4,3,Marketing,1,1327,Female,2,Sales Representative,Divorced,50630,6,Y,12,8,1,12,2,1,0,0,3,2,3,3,3
JO0THAN GIVNER,37,No,Travel_Rarely,Sales,6,1,Technical Degree,1,1328,Male,1,Laboratory Technician,Single,46390,2,Y,12,8,2,12,3,5,1,3,3,4,3,3,3
MARK JONES,34,No,Travel_Rarely,Sales,9,2,Medical,1,1329,Male,2,Healthcare Representative,Single,48760,2,Y,21,8,1,14,3,11,5,8,3,1,3,3,4
KEVIN KONE,36,No,Travel_Frequently,Human Resources,7,3,Medical,1,1330,Male,1,Research Scientist,Married,26900,0,Y,11,8,0,10,1,9,2,8,2,4,3,3,3
GAETANO CALTAGIRONE,36,No,Travel_Rarely,Research & Development,1,3,Medical,1,1331,Female,2,Manufacturing Director,Divorced,175670,5,Y,13,8,0,7,6,1,0,0,1,4,3,3,3
HSINMEI CHEN,43,No,Travel_Frequently,Research & Development,3,4,Life Sciences,1,1332,Male,1,Sales Executive,Married,24080,1,Y,12,8,1,25,3,25,4,12,3,4,4,3,3
CORNELIUS JOHNSON,30,No,Travel_Frequently,Research & Development,10,3,Life Sciences,1,1333,Female,3,Healthcare Representative,Divorced,28140,1,Y,24,8,0,10,2,10,0,9,1,3,2,3,4
EDWARD BANKS,33,No,Non-Travel,Sales,7,3,Life Sciences,1,1334,Male,2,Sales Executive,Married,112450,0,Y,21,8,0,8,3,7,0,7,3,2,4,3,4
ROBERT JR OSULLIVAN,56,Yes,Travel_Rarely,Research & Development,15,3,Life Sciences,1,1335,Male,2,Laboratory Technician,Married,33120,9,Y,19,8,0,7,1,5,4,3,2,2,3,1,3
NEAL CAVELLINI,51,No,Travel_Rarely,Research & Development,3,2,Other,1,1336,Female,2,Sales Representative,Single,190490,7,Y,14,8,1,23,2,20,15,15,1,3,3,3,3
BETH GOUDREAU,31,Yes,Travel_Rarely,Research & Development,2,4,Technical Degree,1,1337,Female,3,Sales Executive,Married,21410,4,Y,20,8,0,12,2,7,7,7,2,3,2,3,4
PATRICIA GREEN,26,No,Travel_Rarely,Sales,17,3,Medical,1,1338,Female,2,Ma0ger,Married,57690,1,Y,19,8,0,5,4,5,4,3,3,2,2,2,3
RICARDO DUARTE,58,Yes,Travel_Rarely,Sales,2,2,Medical,1,1339,Female,1,Research Scientist,Married,43850,1,Y,13,8,1,40,2,40,15,6,4,4,2,2,3
MARIA SU,19,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,1,1340,Male,1,Ma0ger,Single,53320,1,Y,23,8,1,0,2,0,0,0,4,3,2,3,4
JAMES ARNSWALD,22,No,Travel_Rarely,Sales,29,4,Technical Degree,1,1341,Male,1,Sales Executive,Married,46630,0,Y,13,8,1,3,1,2,2,1,3,4,3,3,3
SHON BUFORD,49,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1342,Female,1,Sales Executive,Married,47240,1,Y,11,8,1,16,3,15,5,11,3,1,2,2,3
MARGARET STEVENSON,43,No,Travel_Frequently,Sales,2,2,Life Sciences,1,1343,Male,1,Sales Executive,Single,32110,4,Y,13,8,0,18,2,3,1,2,2,3,3,4,3
JON SMITH,50,No,Travel_Frequently,Research & Development,19,4,Life Sciences,1,1344,Male,2,Sales Executive,Single,53770,4,Y,14,8,1,16,3,2,2,1,3,4,3,4,3
THOMAS WATTS,31,Yes,Travel_Rarely,Research & Development,15,1,Medical,1,1345,Female,2,Sales Executive,Married,40660,3,Y,22,8,0,4,2,2,2,2,2,3,3,2,4
SHELLEY HOM,41,No,Travel_Rarely,Research & Development,17,2,Other,1,1346,Male,1,Manufacturing Director,Divorced,52080,3,Y,11,8,3,12,2,9,0,7,3,3,3,1,3
RICCI RODRIGUEZ,26,No,Travel_Rarely,Research & Development,17,4,Life Sciences,1,1347,Male,2,Sales Executive,Married,48770,1,Y,13,8,1,8,5,8,5,7,3,3,3,4,3
JOHN MUR0NE,36,No,Travel_Rarely,Human Resources,25,1,Human Resources,1,1348,Male,2,Research Scientist,Divorced,31170,6,Y,21,8,1,7,2,3,0,1,2,2,3,4,4
TIMOTHY PLYER,51,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,1,1349,Female,1,Ma0ger,Single,15690,2,Y,11,8,0,18,2,4,0,3,1,4,3,4,3
ANTRON BARRON,39,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,1350,Female,1,Research Scientist,Married,196580,4,Y,13,8,1,17,3,15,5,9,4,3,4,4,3
CHARLES RICARDO,25,No,Travel_Rarely,Sales,29,1,Medical,1,1351,Female,3,Research Scientist,Married,30690,2,Y,14,8,1,6,3,2,2,2,1,3,3,2,3
DENISE PEMBERTON,30,No,Travel_Rarely,Research & Development,21,1,Medical,1,1352,Male,2,Laboratory Technician,Married,104350,0,Y,11,8,0,12,5,11,4,7,3,4,1,3,3
CHRISTINE MARTIN,32,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,1,1353,Female,2,Research Director,Single,41480,7,Y,15,8,0,10,0,5,0,4,1,1,4,2,3
DANTE GIOVANNELLI,45,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,1354,Female,2,Healthcare Representative,Single,57680,5,Y,23,8,1,9,4,6,0,3,3,4,2,3,4
REY JACALA,38,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,1355,Female,2,Research Director,Single,50420,3,Y,16,8,1,19,4,3,2,2,4,3,3,3,3
YOLANDA VALLERO,30,No,Travel_Rarely,Sales,13,3,Marketing,1,1356,Female,2,Laboratory Technician,Single,57700,1,Y,16,8,1,5,2,5,0,4,1,3,2,4,3
KEVIN BYRNE,32,No,Travel_Frequently,Sales,2,3,Marketing,1,1357,Male,3,Laboratory Technician,Divorced,77560,0,Y,21,8,0,9,3,8,0,7,4,4,4,3,4
KAREN ACOSTA,30,No,Travel_Rarely,Research & Development,1,3,Medical,1,1358,Female,3,Sales Executive,Divorced,103060,5,Y,13,8,0,8,5,3,2,2,4,1,3,3,3
BYRON RHETT,30,No,Travel_Rarely,Sales,9,3,Medical,1,1359,Male,2,Research Scientist,Single,39360,0,Y,11,8,1,6,3,5,1,2,2,4,3,3,3
PETER DAILEY,41,No,Travel_Frequently,Sales,10,2,Medical,1,1360,Female,3,Manufacturing Director,Divorced,79450,4,Y,12,8,1,21,6,7,7,7,4,1,2,2,3
THOMAS CARTER,41,No,Travel_Rarely,Research & Development,10,4,Medical,1,1361,Male,4,Research Scientist,Married,57430,2,Y,12,8,3,7,2,5,1,4,3,1,3,4,3
MICHAEL MAGALONG,19,No,Travel_Rarely,Research & Development,1,3,Other,1,1362,Female,5,Manufacturing Director,Single,152020,1,Y,18,8,3,1,2,1,0,0,2,2,3,2,3
JOHN WON,40,No,Travel_Frequently,Research & Development,26,4,Medical,1,1363,Male,2,Manufacturing Director,Divorced,54400,1,Y,12,8,1,20,2,20,2,13,2,2,3,3,3
THERESA FOGARTY,35,No,Travel_Rarely,Sales,8,1,Marketing,1,1364,Female,3,Laboratory Technician,Married,37600,1,Y,14,8,3,10,2,10,0,6,3,2,3,3,3
MARK MCDONOUGH,53,No,Travel_Rarely,Sales,14,2,Life Sciences,1,1365,Female,5,Manufacturing Director,Married,35170,2,Y,12,8,1,13,1,7,4,5,2,3,1,2,3
HERBERT DANG,45,No,Travel_Rarely,Sales,1,4,Technical Degree,1,1366,Male,1,Research Scientist,Divorced,25800,8,Y,17,8,3,20,3,17,0,15,2,2,1,3,3
KATHERINE HATHAWAY,32,No,Travel_Frequently,Sales,2,2,Life Sciences,1,1367,Female,1,Manufacturing Director,Single,21660,1,Y,19,8,1,9,4,9,3,7,2,4,3,1,3
KEVIN MURRAY,29,No,Non-Travel,Research & Development,10,4,Technical Degree,1,1368,Male,3,Healthcare Representative,Married,58690,1,Y,11,8,1,10,6,10,0,9,4,3,3,4,3
SUE BLACK,51,No,Travel_Rarely,Research & Development,1,3,Other,1,1369,Female,3,Research Director,Married,80080,2,Y,15,8,1,10,4,1,0,0,2,3,3,3,3
GEORGE WONG,58,No,Travel_Rarely,Sales,3,3,Marketing,1,1370,Female,1,Research Scientist,Married,52060,4,Y,11,8,3,9,4,1,0,0,2,2,2,1,3
CARL BARNES,40,No,Travel_Rarely,Research & Development,11,2,Technical Degree,1,1371,Male,4,Laboratory Technician,Married,52950,7,Y,18,8,0,15,4,12,2,11,3,4,2,3,3
DANIEL BECKWITH,34,No,Travel_Frequently,Sales,24,4,Marketing,1,1372,Male,2,Manufacturing Director,Married,164130,6,Y,16,8,0,6,1,4,1,2,3,3,3,3,3
TERRIE WILLIAMS,22,No,Travel_Rarely,Research & Development,3,3,Medical,1,1373,Male,1,Laboratory Technician,Married,132690,1,Y,25,8,1,2,2,2,2,2,3,4,3,3,4
ALVIN YEE,27,No,Non-Travel,Research & Development,3,3,Medical,1,1374,Male,1,Healthcare Representative,Divorced,27830,6,Y,16,8,1,6,2,2,2,2,4,2,1,4,3
JEFFREY COVITZ,28,No,Travel_Rarely,Sales,4,4,Life Sciences,1,1375,Male,2,Healthcare Representative,Married,54330,1,Y,13,8,1,5,4,5,0,2,3,4,1,2,3
RICHARD WENDLAND,57,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,1376,Male,2,Manufacturing Director,Divorced,20130,3,Y,14,8,1,12,5,5,1,4,3,4,1,3,3
SIULAGI SALA,27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,1377,Male,1,Manufacturing Director,Divorced,139660,1,Y,19,8,0,1,1,1,0,1,3,3,2,3,3
BER0RD MAGUIRE,50,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,1378,Female,2,Manufacturing Director,Single,43740,3,Y,15,8,1,21,5,5,4,4,3,2,3,4,3
JOSE CISNEROS,41,No,Travel_Rarely,Sales,7,4,Marketing,1,1379,Male,4,Laboratory Technician,Divorced,68420,4,Y,12,8,1,13,3,9,1,8,1,3,3,3,3
MEGHAN WHITE,30,No,Travel_Rarely,Human Resources,1,4,Human Resources,1,1380,Female,1,Ma0ger,Married,174260,2,Y,12,8,1,12,0,10,7,4,2,4,3,2,3
